Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Hippo signaling pathway,34/163,0.000148363103842751,0.001454915598974,0,0,2.170492110923448,19.134728284495704,GSK3B;BMPR2;WNT2B;WWC1;LIMD1;NKD1;NKD2;PPP2CA;CCND2;RASSF2;CCND1;WNT2;FZD1;WWTR1;TCF7L2;TGFB2;TCF7L1;TGFB1;FZD4;FZD7;FZD8;AXIN2;BMP6;BMP5;SMAD7;TGFBR2;BMP4;BMP2;LATS2;APC;ID2;ID1;DCHS1;FAT4
KEGG_2021_Human,Serotonergic synapse,26/113,0.00016884729404900118,0.0016040492934655,0,0,2.4577548887893714,21.34932676500564,GABRB2;MAOB;MAOA;CACNA1D;CACNA1C;PTGS2;GNAI1;SLC6A4;GNAI2;PTGS1;GNG2;ALOX5;GNG7;KCNN2;PRKACA;SLC18A2;KCNJ5;PRKCB;DUSP1;TRPC1;PLA2G4C;GNG12;ALOX15B;GNG11;PLCB4;GNAQ
KEGG_2021_Human,Wnt signaling pathway,34/166,0.00021393924191445295,0.0019708342285452,0,0,2.1208030020879183,17.92040044092646,GSK3B;WNT2B;PRICKLE2;PRICKLE1;NKD1;NKD2;CCND2;CCND1;SOX17;WIF1;RSPO2;RSPO3;PRKACA;WNT2;TLE4;FZD1;TCF7L2;JUN;TCF7L1;PRKCB;FZD4;FZD7;CTNNBIP1;NFATC3;FZD8;AXIN2;DKK2;SFRP1;PLCB4;APC;DAAM2;SFRP5;ROR1;LGR5
KEGG_2021_Human,Cushing syndrome,32/155,0.0002782737167135772,0.0024880944082625,0,0,2.1411987143127247,17.52979118001151,GSK3B;WNT2B;ADCY4;CACNA1D;CACNA1C;GNAI1;GNAI2;RAP1A;CCND1;GNA11;PDE8B;PRKACA;WNT2;LDLR;FZD1;TCF7L2;CDKN2B;TCF7L1;FZD4;FZD7;FZD8;AXIN2;PBX1;NR4A1;ADCY9;CDK6;PLCB4;APC;GNAQ;AGTR1;KCNK3;CREB5
KEGG_2021_Human,Platelet activation,27/124,0.0003334710445965404,0.0028964342159242,0,0,2.288932475422776,18.325089295701726,ADCY4;PIK3R3;PIK3R1;RASGRP2;GNAI1;MYLK;GNAI2;PTGS1;RAP1A;TBXA2R;AKT3;P2RY1;FYN;PRKACA;PRKG1;P2RY12;GUCY1A2;PTGIR;ARHGEF12;FCER1G;VWF;F2R;PLA2G4C;ADCY9;PLCB4;GNAQ;TLN1
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",24/106,0.0003809945709128472,0.0032084753072842,0,0,2.40547932819458,18.93767828445857,MEF2A;SLC34A2;EGR1;KL;MEF2C;JUND;PRKCB;ADCY4;ARRB1;GATA3;PTH1R;FOS;GNAI1;GNAI2;NR4A2;AKAP13;ADCY9;PLCB4;GNAQ;GNA11;PRKACA;FGFR1;CREB5;HBEGF
KEGG_2021_Human,Calcium signaling pathway,44/240,0.0003905052183207771,0.0032084753072842,0,0,1.8503083179015287,14.521347767588056,PTGFR;FLT1;PDE1C;FLT4;PDGFB;ADCY4;ADRB1;CACNA1D;ADRB2;CACNA1C;FGF2;SLC8A1;MYLK;EDNRA;CYSLTR1;FGF7;EDNRB;PLN;TBXA2R;ERBB4;GNA11;KDR;PLCE1;NOS1;PRKACA;PDGFRB;PDGFRA;NTRK2;MCOLN3;PRKCB;TNNC1;HGF;F2R;VEGFC;ITPKB;ADCY9;PLCB4;GNAQ;AGTR1;CASQ2;CALM1;FGFR4;FGFR2;FGFR1
KEGG_2021_Human,Leukocyte transendothelial migration,25/114,0.0004861536679307285,0.0038783176370146,0,0,2.3087882150094026,17.61371249570038,NCF2;PXN;PIK3R3;PIK3R1;ARHGAP5;ITGAL;GNAI1;GNAI2;CLDN22;CDH5;RAP1A;JAM2;JAM3;PRKCB;MSN;ACTN4;CLDN11;CLDN5;CXCL12;PECAM1;CLDN18;ESAM;MYL9;VCL;RAPGEF4
KEGG_2021_Human,Osteoclast differentiation,27/127,0.0004975473284328039,0.0038783176370146,0,0,2.219888631090487,16.884073066998813,SPI1;NCF2;PIK3R3;PIK3R1;LILRA2;SIRPB1;SOCS3;FCGR3A;FCGR3B;AKT3;SIRPA;ACP5;FYN;JUNB;JUN;TGFB2;JUND;TGFB1;MITF;FOS;GAB2;LILRB2;OSCAR;TGFBR2;TYROBP;FOSB;PPARG
KEGG_2021_Human,Oxytocin signaling pathway,31/154,0.0005427264165740259,0.0041247207659625,0,0,2.073321918714305,15.589110959790816,NPR1;NPR2;ADCY4;CACNA1D;CACNA1C;PTGS2;GNAI1;MYLK;GNAI2;RGS2;CCND1;PRKACA;MAP2K5;KCNJ2;GUCY1A2;KCNJ5;MEF2C;JUN;PRKCB;CACNA2D1;PLA2G4C;NFATC3;CACNA2D2;FOS;RCAN1;ADCY9;PLCB4;GNAQ;CALM1;PPP1R12B;MYL9
KEGG_2021_Human,Circadian entrainment,22/97,0.0006385959634422159,0.0047349554362544,0,0,2.409543209876543,17.725174765614103,GRIA1;GUCY1A2;KCNJ5;PRKCB;ADCY4;CACNA1D;CACNA1C;FOS;GNG12;GNG11;GNAI1;GNAI2;ADCY9;PLCB4;GNG2;PER3;GNAQ;GNG7;NOS1;PRKACA;CALM1;PRKG1
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,30/150,0.0007388949208254544,0.0052318545410534,0,0,2.0559944237918217,14.824449340818871,KCNE1;ADCY4;ADRB1;CACNA1D;ATP1A2;ADRB2;CACNA1C;SLC8A1;GNAI1;GNAI2;PPP2CA;PLN;AKT3;SCN7A;PRKACA;TPM4;CACNA2D1;TPM2;TNNC1;CACNA2D2;ADCY9;PLCB4;GNAQ;TNNT2;AGTR1;AGTR2;CALM1;SCN4B;CREB5;RAPGEF4
