Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912),8/14,3.244785450520179e-05,0.0008514729916224866,0,0,10.92425636307881,112.9117617166461,BMP4;MEF2C;NDRG4;IGFBP5;LRP1;SLIT2;TRIB1;PRKG1
GO_Biological_Process_2023,Cell-Matrix Adhesion (GO:0007160),27/109,3.273284979129228e-05,0.0008514729916224866,0,0,2.7099315262294152,27.985818965970093,ECM2;COL13A1;ITGAL;FBLN5;SGCE;EMILIN1;CD34;CCL21;ACTN2;ITGA1;EMP2;SORBS1;NPNT;LYVE1;TIAM1;PEAK1;CDH11;ITGA8;ZYX;ITGBL1;ITGA7;ITGA6;ITGA5;VCL;FERMT2;CD44;ITGA9
GO_Biological_Process_2023,Regulation Of Response To External Stimulus (GO:0032101),30/127,3.2748961216249484e-05,0.0008514729916224866,0,0,2.546803740466792,26.299923633826857,GATA6;PTGS2;SAMHD1;AGER;CX3CL1;EFNB2;ALOX5;CASP1;CD36;GGT1;JAK2;N4BP1;P2RY12;PDGFRA;ANXA1;APLP2;CAV1;F2R;ERAP1;SELE;FOXP1;FGR;BST1;HCK;AGTR1;NMT2;XCL1;CARD16;MGLL;FOXA2
GO_Biological_Process_2023,Negative Regulation Of Cell-Substrate Adhesion (GO:0010812),14/39,3.470465780697663e-05,0.0008931031460398769,0,0,4.595977859778598,47.19442669016058,KANK1;DMTN;JAG1;MYOC;FZD4;FZD7;PTPRO;SPRY4;FBLN1;SEMA3E;ACTN4;CORO2B;CX3CL1;CORO1C
GO_Biological_Process_2023,Negative Regulation Of Phosphorylation (GO:0042326),21/75,3.476397788107028e-05,0.0008931031460398769,0,0,3.196771042212968,32.821020762295966,CDKN1C;PRNP;WWTR1;CDKN2B;PID1;TGFB1;LRRK2;PTEN;DAB2IP;FBLN1;PRR5L;PTPN13;CORO1C;BMP4;FKBP8;MYADM;SIRPA;INPP5K;SLIT2;SH3GL2;ZBED3
GO_Biological_Process_2023,Cardiac Muscle Cell Action Potential Involved In Contraction (GO:0086002),12/30,3.618944507234459e-05,0.0009242227510783388,0,0,5.468509984639017,55.925046502423264,GJC1;KCNE1;GJA1;CACNA2D1;NEDD4L;CACNA1D;KCNA5;CACNA1C;GPD1L;SCN4B;KCNJ2;SCN1A
GO_Biological_Process_2023,Positive Regulation Of Osteoblast Differentiation (GO:0045669),15/44,3.70741608926866e-05,0.0009412475200755022,0,0,4.246057635695304,43.32078645947965,WWTR1;MEF2C;BMPR2;ZHX3;HGF;CTNNBIP1;NPNT;BMP6;BMP4;IL6;TMEM119;PRKD1;IL6ST;FERMT2;DDR2
GO_Biological_Process_2023,Positive Regulation Of miRNA Metabolic Process (GO:2000630),16/49,3.775580483839697e-05,0.000952947682353926,0,0,3.98108508911833,40.544848818178096,EGR1;JUN;TGFB2;SPI1;TGFB1;PDGFB;FOS;GATA3;FOXO3;GATA2;KLF4;ETS1;FGF2;APLN;ATOH8;PPARG
GO_Biological_Process_2023,Vascular Associated Smooth Muscle Cell Differentiation (GO:0035886),6/8,3.858846031442162e-05,0.0009683011320758356,0,0,24.5625,249.61781323358736,EFEMP2;MYOCD;RAMP2;HEY2;GATA6;ENG
GO_Biological_Process_2023,Receptor-Mediated Endocytosis (GO:0006898),29/122,3.888547683519327e-05,0.000970113976998232,0,0,2.567185572519465,26.069486387899257,RAMP2;CALCRL;RAMP3;TFRC;LRP1;STON1;ADRB2;STON2;VLDLR;DLL1;SNX1;MRC1;CXCR2;TMEM108;CD36;SCARF1;LDLR;SNCA;MSR1;FCER1G;CAV2;CAV1;MAGI2;SFTPD;DNM3;MARCO;DAB2;NEDD4;FOLR1
GO_Biological_Process_2023,Positive Regulation Of Platelet Aggregation (GO:1901731),7/11,4.038486518968512e-05,0.0010017303342452,0,0,14.333103448275862,145.00880260337942,IL6;DMTN;MMRN1;PDPN;EMILIN1;IL6ST;JAK2
GO_Biological_Process_2023,Positive Regulation Of Phosphatidylinositol 3-Kinase Activity (GO:0043552),11/26,4.120934562302984e-05,0.0010163402040514,0,0,6.013603562106556,60.71842601565816,P2RY12;PDGFRB;FGR;PDGFRA;FLT1;TGFB1;CCL21;PDGFB;PRKD1;TEK;FGF2
GO_Biological_Process_2023,Mesenchyme Morphogenesis (GO:0072132),9/18,4.171321596596812e-05,0.0010171425994865,0,0,8.19558214450069,82.64992619335932,ACVRL1;ADAMTS5;HEYL;TGFB2;BMP2;APC;HEY1;TBX2;ENG
GO_Biological_Process_2023,Positive Regulation Of Cation Transmembrane Transport (GO:1904064),9/18,4.171321596596812e-05,0.0010171425994865,0,0,8.19558214450069,82.64992619335932,EDN1;KCNE1;EDNRA;STAC;AMIGO1;FLNA;ANK2;ANK3;NOS1
