Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Regulation
214053_at,2.8781183258297873,5.234082255200001,-2.3559639293702133,-16.484416366295566,2.8319949919868754e-38,1.90640403803512e-36,Downregulated
219869_s_at,8.448021375138298,11.31724651923,-2.8692251440917023,-17.856201721620266,3.026517024962858e-38,2.0322627303951593e-36,Downregulated
222033_s_at,7.401144916117023,9.09474808351,-1.6936031673929772,-16.835312932910817,3.0480142158024045e-38,2.0441457931564604e-36,Downregulated
1555579_s_at,8.25312306112766,10.035870064600001,-1.7827470034723412,-18.863369417895573,3.1359440554213743e-38,2.1004967243448822e-36,Downregulated
216333_x_at,5.9634650022340425,9.72019525359,-3.7567302513559566,-19.044826899903445,3.219501180700551e-38,2.1537822202134307e-36,Downregulated
226242_at,8.794989258265957,7.635737882550001,1.1592513757159564,16.809476864502454,3.360680862832697e-38,2.2454357874325393e-36,Upregulated
243579_at,6.16288476418085,4.42318672016,1.7396980440208498,18.319700629263377,3.446847460857428e-38,2.3001505896982336e-36,Upregulated
226713_at,6.91879492669149,9.160502442360002,-2.2417075156685122,-19.077423081206437,3.596069988975762e-38,2.396756139120822e-36,Downregulated
228885_at,6.406470829500001,10.98337658974,-4.57690576024,-19.828392334415337,3.652676097361338e-38,2.4314707496618433e-36,Downregulated
203143_s_at,6.861975655712766,8.69665268779,-1.8346770320772334,-18.060683142327466,3.671246148349573e-38,2.439182735916918e-36,Downregulated
214100_x_at,9.056749583106384,7.63175714078,1.424992442326385,16.80917387056664,3.673331380085345e-38,2.439182735916918e-36,Upregulated
225291_at,9.293729855031913,8.083684073959999,1.2100457810719139,17.67441830772841,4.008027661242451e-38,2.6581476669246174e-36,Upregulated
229504_at,6.76320203776596,8.53375713642,-1.7705550986540404,-17.836252937015246,4.057879321298252e-38,2.6878952854106868e-36,Downregulated
213317_at,8.576688810563832,12.612873444300003,-4.0361846337361715,-20.15019583938026,4.3210874684068356e-38,2.8587209172906527e-36,Downregulated
213944_x_at,7.471962852882979,8.51555948551,-1.043596632627021,-16.970209912151695,4.3668568618458774e-38,2.8854516360103485e-36,Downregulated
225790_at,5.696453246085105,8.68931242803,-2.992859181944895,-18.99737931607335,4.578205293505791e-38,3.021390796521503e-36,Downregulated
