Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Significant,Regulation,Gene Symbol,Gene Title,Display_Name
226350_at,9.949578959531914,8.86218410835,1.087394851181914,9.16062366174683,1.3328100851996438e-15,1.1407785366414392e-14,True,Upregulated,CHML,choroideremia-like (Rab escort protein 2),CHML
219735_s_at,4.020912547340426,2.9345091658799998,1.0864033814604266,7.352784050611898,6.588312836634033e-11,3.5224552110457067e-10,True,Upregulated,TFCP2L1,transcription factor CP2-like 1,TFCP2L1
211778_s_at,6.662478855787233,5.57666561031,1.0858132454772331,9.94092207030677,2.819520793428833e-18,3.08421284106901e-17,True,Upregulated,OVOL2,ovo-like zinc finger 2,OVOL2
241472_at,5.055760897723405,3.9701716570300003,1.085589240693405,9.174744834975042,9.995797592237396e-16,8.658946195781617e-15,True,Upregulated,DMXL1,Dmx-like 1,DMXL1
202342_s_at,9.678468842117022,8.59313386525,1.0853349768670224,8.780216333111518,9.096073861432087e-15,7.190497188580046e-14,True,Upregulated,TRIM2,tripartite motif containing 2,TRIM2
209589_s_at,5.1080774015,4.0230466179999995,1.0850307835000006,9.021053547896155,7.612319206804213e-15,6.070217951922482e-14,True,Upregulated,EPHB2,EPH receptor B2,EPHB2
218704_at,7.487956680478725,6.403104624150001,1.0848520563287245,9.34463169420507,3.1868431986214887e-16,2.887107095857426e-15,True,Upregulated,RNF43,ring finger protein 43,RNF43
235089_at,5.852685574000003,4.767924728020001,1.0847608459800027,10.344919437421765,7.113197140167456e-19,8.197780616692666e-18,True,Upregulated,FBXL20,F-box and leucine-rich repeat protein 20,FBXL20
209680_s_at,3.74080906581915,2.65641461945,1.0843944463691502,8.960585947036845,2.6090203000046947e-14,1.9623656251720387e-13,True,Upregulated,KIFC1,kinesin family member C1,KIFC1
1558139_at,4.050755053734043,2.9664111976600003,1.0843438560740424,7.038206317165942,2.9404137592854035e-10,1.464109372865439e-09,True,Upregulated,LINC01296,long intergenic non-protein coding RNA 1296 /// uncharacterized LOC100653149 /// uncharacterized LOC102725127,LINC01296
