Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Regulation
1552410_at,2.253575457265957,2.23123502842,0.022340428845957216,0.9374303355491057,0.3506361139362431,0.42133179324499626,Upregulated
1552411_at,2.212752368,2.212752368,0.0,,,,Downregulated
1552412_a_at,2.212752368,2.2128787504,-0.00012638239999995804,-0.9999999999996483,0.31974847413947066,0.39274219848801906,Downregulated
1552414_at,2.2278176441276596,2.2303580897399997,-0.0025404456123401253,-0.15153807844042066,0.8797459155219666,0.9026365612198026,Downregulated
1552415_a_at,2.2129074765638297,2.212752368,0.00015510856382983107,1.000000000000274,0.3199053369292462,0.39274219848801906,Upregulated
1552417_a_at,6.00048274481915,6.324597239039998,-0.32411449422084804,-3.2730244428604767,0.0012776944206753936,0.002960244329547565,Downregulated
1552418_at,2.212752368,2.212752368,0.0,,,,Downregulated
1552419_s_at,2.217049472925532,2.2187835238999996,-0.0017340509744676602,-0.2977468242589037,0.7662694566583471,0.8063961489120969,Downregulated
1552421_a_at,2.212752368,2.21295331788,-0.0002009498799999676,-1.0817508820211756,0.28199117864380313,0.3652950732854445,Downregulated
1552422_at,3.9132976491595746,5.53002737364,-1.6167297244804257,-18.044335569394768,7.051566831192132e-43,6.921087109169709e-41,Downregulated
1552423_at,2.887973013340425,2.61625780388,0.27171520946042493,3.957721050285303,0.00012796797651907596,0.00034061887390780517,Upregulated
1552424_at,2.213553725819149,2.21321319491,0.0003405309091490949,0.3992439646455815,0.6903751570784027,0.7396083438151336,Upregulated
1552425_a_at,2.2448240175531913,2.2232865199600003,0.021537497593191013,1.0529802481056674,0.2944898884400799,0.377738433897884,Upregulated
1552426_a_at,10.224622917723403,10.506922734300002,-0.2822998165765984,-5.307943063718548,4.4939414571510235e-07,1.6045614392878716e-06,Downregulated
1552427_at,4.689653383010639,3.9559323622399996,0.7337210207706395,8.499687418130561,5.821110619247056e-14,4.2264343381050504e-13,Upregulated
1552430_at,2.3991836250106386,2.68429555175,-0.28511192673936137,-4.497518547380884,1.2801525275744975e-05,3.883271324128471e-05,Downregulated
1552432_at,2.348644261851064,2.2284591865500003,0.12018507530106382,4.142004236621999,7.56721682562847e-05,0.0002080404437657191,Upregulated
1552436_a_at,2.219856243893617,2.212752368,0.007103875893617051,1.0000000000000042,0.3199053369293761,0.39274219848801906,Upregulated
1552438_a_at,2.2128227969893617,2.212752368,7.042898936182596e-05,1.0000000000017446,0.31990533692853834,0.39274219848801906,Upregulated
1552439_s_at,2.4780437711276595,2.59373050621,-0.11568673508234051,-0.9618173027200922,0.33744435801443773,0.408898601846589,Downregulated
1552440_at,2.323332149914893,2.52195921442,-0.1986270645051067,-3.691630533202333,0.000307449019532915,0.0007774543001691287,Downregulated
1552445_a_at,2.247401910606383,2.2158007833699997,0.03160112723638342,2.731550757622309,0.007462484100246254,0.015313894308120756,Upregulated
1552448_a_at,2.212752368,2.21478204063,-0.002029672629999979,-1.617799630346516,0.10888766115853085,0.16888432806350076,Downregulated
1552449_a_at,2.233628943138298,2.21383868693,0.019790256208298107,1.102996180109933,0.2728712768680793,0.35612575215050263,Upregulated
1552450_a_at,2.2132693808829784,2.21280163619,0.00046774469297838905,1.1160776987448782,0.2671861174582102,0.3504201295217758,Upregulated
1552452_at,2.212752368,2.212752368,0.0,,,,Downregulated
1552453_a_at,2.212752368,2.212752368,0.0,,,,Downregulated
1552455_at,2.6442084665744683,2.2516394221600002,0.39256904441446805,3.5952485591787067,0.0005036556302879544,0.0012368560739050277,Upregulated
1552456_a_at,2.2132751765,2.212752368,0.0005228084999999716,1.0051756530277103,0.3174204767681531,0.39274219848801906,Upregulated
1552457_a_at,2.2243775623936166,2.21464929882,0.009728263573616669,1.2239734908202848,0.22394654796229002,0.3047810275281576,Upregulated
1552458_at,2.2176779606063826,2.21560664037,0.002071320236382679,0.631826510925397,0.5286789612519824,0.5917041556880189,Upregulated
1552459_a_at,2.218210513851064,2.21465543223,0.0035550816210641045,0.8841200937679167,0.3784439157177931,0.448525504622917,Upregulated
1552461_at,2.212752368,2.212752368,0.0,,,,Downregulated
1552463_at,2.285705661851064,2.43266231991,-0.1469566580589361,-1.4861435511418921,0.1396114375631864,0.20793456042902952,Downregulated
1552466_x_at,2.215366172117021,2.21661374358,-0.0012475714629789358,-0.2799516583795318,0.7798740350486385,0.8182090439887268,Downregulated
1552467_at,2.265959875787234,2.21969776803,0.04626210775723383,2.9680277008259686,0.003730768238704367,0.008052937654986478,Upregulated
1552468_a_at,2.215642338755319,2.21569892948,-5.65907246810049e-05,-0.014343961381681928,0.9885705670064122,0.9907626011703075,Downregulated
1552470_a_at,2.6155686329787238,2.2560287951699998,0.359539837808724,5.045229650967191,2.193643687504846e-06,7.260758115454501e-06,Upregulated
1552472_a_at,5.698121968510637,5.66028301218,0.03783895633063672,0.39875868928100966,0.690555297821205,0.7397372485284073,Upregulated
1552473_at,4.855400571627661,4.680706665450001,0.17469390617766045,5.4663281001289565,2.439717678278776e-07,8.952289196609513e-07,Upregulated
1552474_a_at,4.227284392808511,4.018769879320001,0.20851451348851047,2.6942146545543997,0.008172552917206954,0.016650779030136797,Upregulated
1552476_s_at,2.62356656756383,2.68500768809,-0.06144112052616979,-1.0965014054434314,0.27492654751384077,0.35816497806954994,Downregulated
1552477_a_at,6.698911297510637,6.167825618629999,0.531085678880638,3.3269199784380534,0.0010831269469070014,0.002533797232356471,Upregulated
1552478_a_at,2.9217971081808503,2.7209411313699996,0.20085597681085066,2.1418328067091528,0.034134463591522994,0.06139295297554442,Upregulated
1552480_s_at,2.5572475164787236,2.4659530586400003,0.09129445783872336,1.0116733205248776,0.31304712226415227,0.39274219848801906,Upregulated
1552481_s_at,3.022709865648936,2.8417879701799995,0.18092189546893644,2.181382817240724,0.030564928868037168,0.055599474570354676,Upregulated
1552482_at,4.545127226808511,3.49173070727,1.0533965195385107,5.962011786857748,2.1381427592852642e-08,8.813775785631302e-08,Upregulated
1552484_at,2.215084871010638,2.21367650004,0.00140837097063784,0.7257964735741943,0.46944909828073256,0.5354750222701676,Upregulated
1552485_at,6.1033293720851045,5.63384138689,0.46948798519510415,3.5780534451533024,0.0004408810747061649,0.0010919704127899145,Upregulated
1552486_s_at,7.516335004968087,7.706659713540001,-0.19032470857191353,-1.6049048990719446,0.11023489718571432,0.17066070404786227,Downregulated
1552487_a_at,2.237797333329787,2.2343970123999997,0.0034003209297872594,0.16182403233702303,0.871642359595589,0.895740383905087,Upregulated
1552489_s_at,2.237290301457447,2.21407256297,0.02321773848744657,1.9099708984280752,0.05918557207825453,0.09981673083535049,Upregulated
1552490_at,2.2723713931276595,2.2552541396500003,0.017117253477659133,1.0339901450869098,0.3025937999063549,0.3853557006316264,Upregulated
1552491_at,2.215288064744681,2.21282523955,0.0024628251946809954,2.0699734651359747,0.04120666712575301,0.0726383651686468,Upregulated
1552493_s_at,2.2259841467021273,2.21344440081,0.012539745892127474,1.2801843782503173,0.203632733097036,0.28238514366929246,Upregulated
1552494_at,2.214063996180851,2.2130264618499997,0.0010375343308512974,1.298883010988902,0.19687413997704842,0.27476251311153704,Upregulated
1552496_a_at,4.062554233531914,5.901741307709999,-1.839187074178085,-12.983972024543394,9.105848798132152e-27,2.097503997671674e-25,Downregulated
1552497_a_at,2.600610588882979,2.3703789091000003,0.23023167978297865,3.339016928495055,0.0011116029146089035,0.0025960086129631576,Upregulated
1552498_at,2.2362391740212773,2.21846517908,0.017773994941277405,1.194548551933761,0.23518276019117207,0.3169357571568045,Upregulated
1552499_a_at,2.233885367117021,2.21542689567,0.018458471447021285,2.81250514568295,0.005855836277197891,0.012243897139067242,Upregulated
1552501_a_at,2.3083217272021286,2.317010893170001,-0.008689165967872281,-2.0697461751056574,0.039886817270377135,0.07057544423003174,Downregulated
1552502_s_at,4.421300110031916,2.62658825244,1.7947118575919156,11.652882399033317,5.48187558643572e-20,6.985267952902906e-19,Upregulated
1552503_at,2.2146462093510637,2.21456809404,7.811531106360903e-05,0.04094867464195254,0.9673811576763188,0.9740637427556487,Upregulated
1552504_a_at,2.6643473107340427,2.6760043818500003,-0.011657071115957596,-0.33617170635003263,0.7371089288760889,0.7805895028259365,Downregulated
1552506_at,2.212752368,2.212752368,0.0,,,,Downregulated
1552507_at,3.4990016089893623,2.4584207360600003,1.040580872929362,4.896117117729713,3.4115682283317604e-06,1.1054548444783555e-05,Upregulated
1552508_at,3.596568078957447,2.3582778438700003,1.2382902350874465,5.286806462229581,6.483410902611944e-07,2.273992427831014e-06,Upregulated
1552509_a_at,2.4703370906170217,6.94093799796,-4.470600907342979,-22.515826162656907,1.577661001619451e-43,1.6482511413539765e-41,Downregulated
1552510_at,2.2367899209042545,2.2299584716499994,0.006831449254255162,0.715343773554518,0.475331112709941,0.5411972740943456,Upregulated
1552511_a_at,2.9208257959680846,2.5222684182099995,0.3985573777580851,2.495934459522604,0.01385081595588267,0.027092083969623114,Upregulated
1552514_at,2.3801985077127656,2.27665180056,0.10354670715276582,1.7035029434777422,0.09133207213287556,0.14539711216891152,Upregulated
1552515_at,2.2162653872340425,2.21288990954,0.0033754776940426723,1.8519900314930144,0.06718388096150357,0.11154182580529905,Upregulated
1552516_a_at,4.40354845387234,4.78441046067,-0.3808620067976598,-2.9646273740759326,0.00343136999632835,0.00744462371919312,Downregulated
1552518_s_at,2.384428257553191,2.2152326953699997,0.16919556218319132,3.941727593316942,0.0001563067642660755,0.00041162924122674973,Upregulated
